Country,Country_pt,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis
Australia,Austrália,Oceania,2004,4.8,5.8,67.92,9.84,95,85,26.6,92,92,0.05,49439,20.13,0.7,0.6,11.8,1,0,80.5,70,6690,1582,137,0,210,250,15,145,783,77,46587,3113,621,443,2381,3,117,42,39058,0,3475,2777,51,108,1828,7605,1584,4599,121,11
Australia,Austrália,Oceania,2005,4.8,5.7,66.521,10.3,95,85,26.7,92,92,0.05,50333,20.39,0.7,0.6,11.7,1,0,80.8,55,6954,1614,137,0,205,254,14,117,805,73,45600,2998,651,454,2358,4,123,42,39704,0,3532,2884,49,106,1784,7538,1600,4648,127,11
Australia,Austrália,Oceania,2006,4.7,5.6,65.59,10.31,95,87,26.7,92,92,0.05,50948,20.7,0.7,0.6,11.9,1,0,81,53,7268,1668,137,0,202,308,18,132,787,76,45433,2938,658,467,2370,4,136,44,40546,0,3648,3065,48,106,1755,7660,1623,4750,113,11
Australia,Austrália,Oceania,2007,4.5,5.4,66.424,10.56,94,89,26.8,92,92,0.05,52539,20.83,0.7,0.6,12,1,0,81.3,51,7568,1742,138,0,204,300,14,123,757,78,45949,2910,652,483,2465,5,148,46,41904,0,3820,3298,48,107,1752,7969,1687,4945,114,11
Australia,Austrália,Oceania,2008,4.4,5.2,64.318,10.76,94,80,26.8,92,92,0.05,53339,21.25,0.7,0.6,12.3,1,0,81.4,50,7836,1809,138,0,206,327,12,95,720,80,46128,2828,648,496,2556,5,156,46,43049,0,3934,3487,49,108,1739,8245,1742,5099,115,12
Australia,Austrália,Oceania,2009,4.2,5,64.839,10.62,94,82,26.9,92,92,0.05,53226,21.69,0.7,0.6,12.3,1,0,81.5,49,8064,1837,137,0,207,339,18,101,693,80,45219,2803,649,503,2610,6,167,77,43523,2,3942,3608,48,107,1711,8342,1780,5186,266,12
Australia,Austrália,Oceania,2010,4,4.8,62.169,10.52,92,88,26.9,92,92,0.05,53543,22.03,0.7,0.6,12.4,1,0,81.7,49,8346,1882,139,0,206,326,19,83,700,79,44759,2911,638,510,2667,5,179,43,44010,10,3906,3699,47,110,1665,8566,1823,5303,108,11
Australia,Austrália,Oceania,2011,3.8,4.5,62.175,10.3,92,90,27,92,92,0.05,54108,22.34,0.6,0.6,12.5,1,0,81.9,48,8687,1948,138,0,197,311,19,103,738,80,44991,3055,608,511,2687,34,197,41,44902,11,3900,3862,46,110,1617,8894,1866,5457,126,11
Australia,Austrália,Oceania,2012,3.6,4.3,60.0415,10.03,91,91,27,92,92,0.05,55255,22.73,0.6,0.6,12.6,1,0,82,48,8948,1983,136,0,193,318,19,74,766,77,44416,3192,575,514,2716,8,207,38,45387,1,3803,4016,44,111,1568,9104,1888,5546,104,10
Australia,Austrália,Oceania,2013,3.5,4.1,60.215,10,91,92,27,91,91,0.05,55724,23.13,0.6,0.6,12.6,1,0,82.1,45,9215,2020,134,0,195,304,11,69,813,80,44255,3306,572,522,2775,4,206,36,46192,0,3657,4210,41,110,1515,9354,1967,5699,102,10
Australia,Austrália,Oceania,2014,3.4,4,60.8255,9.9,91,93,27.1,92,92,0.04,56306,23.48,0.6,0.6,12.7,1,0,82.3,45,9526,2085,141,0,196,312,13,67,887,82,45146,3530,537,536,2907,5,213,51,47417,4,3653,4450,41,116,1523,9773,2057,5913,102,10
Australia,Austrália,Oceania,2015,3.3,3.9,61.7325,9.68,93,93,27.1,93,93,0.04,56707,23.82,0.6,0.6,12.8,1,0,82.4,46,9848,2150,145,0,198,318,12,64,954,85,46230,3763,542,553,3010,9,218,34,48482,3,3720,4682,41,120,1549,10163,2135,6126,103,10
Bangladesh,Bangladesh,Asia,2000,63.1,86,170.133,0.005,75,63,20.2,83,82,0.01,654,127.66,2.9,21.5,4.1,0,1,65.4,2887,9137,2719,6259,481,12246,3841,7343,343,224,31182,245834,39183,63358,280,6949,50,30075,131,80503,141,22033,10470,490,4024,8371,54792,23445,36587,1219,3920
Bangladesh,Bangladesh,Asia,2001,60,81.1,166.197,0.004,75,63,20.3,85,85,0.01,674,130.09,2.7,21.3,4.3,0,1,66,3882,6316,2299,20281,11049,26600,3208,9552,53,203,50270,187957,70778,99038,248,8463,314,43132,564,61456,10,20027,9133,438,16985,8210,57934,26481,41760,1467,4408
Bangladesh,Bangladesh,Asia,2002,57,76.5,162.2605,0.003,75,63,20.4,83,83,0.01,687,132.48,2.5,21.1,4.3,0,1,66.4,2366,10930,3180,5703,901,10182,4087,7439,368,233,30629,268859,37458,55251,286,6857,159,31321,94,87112,163,24520,10872,518,3478,8469,58308,23622,37322,1233,4143
Bangladesh,Bangladesh,Asia,2003,54.3,72.3,159.3365,0.003,75,63,20.4,90,87,0.01,708,134.79,2.3,2.9,4.4,0,1,66.9,4407,6379,2427,15153,7074,23533,3259,8888,98,212,46712,209388,62824,93580,262,8341,232,38978,125,65283,123,21406,9819,446,12107,8475,58822,26827,41575,1414,4073
Bangladesh,Bangladesh,Asia,2004,51.8,68.3,156.4125,0.004,75,63,20.5,88,99,0.01,733,136.99,2.1,2.7,4.5,0,1,67.3,3546,6273,2197,23249,8654,28829,3322,10057,38,204,52100,177250,74827,100998,245,8783,132,46072,427,59967,26,19040,8833,448,19783,8271,56968,26343,42025,1525,4737
Bangladesh,Bangladesh,Asia,2005,49.4,64.6,153.489,4.00E-04,45,63,20.6,94,93,0.01,769,139.04,19.9,2.5,4.5,0,1,67.8,4109,6321,2343,17604,12017,24762,3199,8914,73,204,47619,196567,66529,96710,253,8242,1002,40571,150,62782,82,20540,9365,434,14492,8170,57890,26508,41382,1427,4153
Bangladesh,Bangladesh,Asia,2006,47,61,150.565,0.003,86,62,20.7,95,94,0.01,809,140.92,19.7,2.3,4.6,0,1,68.2,4638,6891,2647,10812,6577,20626,3394,7432,187,224,41736,234002,53458,83087,277,8250,68,33338,76,71059,22,22325,10495,484,8009,8984,59378,25922,39833,1369,3873
Bangladesh,Bangladesh,Asia,2007,44.8,57.8,147.641,0.004,95,63,20.8,96,94,0.01,856,142.66,19.5,2.1,4.7,0,1,68.6,3442,6160,2058,28839,8967,32521,3665,10984,19,209,54383,160416,82601,105534,245,9382,142,52596,126,57862,25,17314,8347,471,25104,8246,55772,26367,43037,1685,5514
Bangladesh,Bangladesh,Asia,2008,42.7,54.7,145.5585,0.003,96,65,20.9,96,96,0.01,897,144.3,19.3,19.9,4.8,0,1,69.1,3663,7658,2899,8793,4993,17169,3576,6938,246,229,37697,252054,47584,75448,280,8133,107,31548,147,76058,127,23287,10771,506,6149,9183,60294,25085,38799,1469,3941
Bangladesh,Bangladesh,Asia,2009,40.7,51.8,143.4765,0.003,97,59,21,97,97,0.01,932,145.92,19.1,19.7,4.8,0,1,69.5,3846,7239,2745,9739,4105,19115,3521,7008,214,227,39446,242016,50206,79128,279,8237,213,32312,145,73426,20,22685,10648,497,7005,9143,59517,25497,39291,1360,3884
Bangladesh,Bangladesh,Asia,2010,38.9,49.1,141.3945,0,94,65,21.1,94,94,0.01,973,147.58,18.9,19.4,4.9,0,1,69.9,2841,10117,3071,5974,1309,11053,4025,7371,359,243,31424,260732,38828,59210,285,6974,79,30824,88,84234,299,23973,10825,504,3634,8581,58264,23631,37074,1228,4069
Bangladesh,Bangladesh,Asia,2011,37.2,46.7,139.3125,0,96,71,21.2,96,96,0.01,1024,149.27,18.7,19.2,5.1,0,1,70.3,3447,6197,2086,26065,8568,30871,3516,10249,27,206,53475,166478,78423,102772,244,9104,247,48730,83,58430,61,17946,8520,458,22464,8294,55710,26209,42257,1592,5108
Bangladesh,Bangladesh,Asia,2012,35.6,44.4,137.2305,0,94,41,21.3,94,94,0.01,1078,151.01,18.5,19,5.1,0,1,70.6,3005,8374,2556,6792,1087,13666,3632,7283,320,217,31900,238443,40685,67831,277,7119,272,29560,103,77715,317,21231,10336,500,4550,8393,53698,23548,36562,1227,3831
Bangladesh,Bangladesh,Asia,2013,34,42.2,134.7385,0,96,82,21.4,96,96,0.01,1130,152.76,18.3,18.8,5.1,0,1,70.9,4633,6653,2609,12076,3791,22024,3391,8083,155,225,44186,229986,56958,86638,277,8468,5505,35610,207,69816,19,22321,10466,479,9194,8927,60138,26714,41053,1405,3970
Bangladesh,Bangladesh,Asia,2014,32.5,40.1,132.246,0.01,97,89,21.5,97,97,0.01,1185,154.52,18.1,18.6,5.2,0,1,71.2,4497,6496,2545,13256,3517,22220,3389,8687,125,221,45876,222813,59193,89998,271,8481,154,37507,126,67975,97,22127,10222,459,10300,8634,60099,27015,41659,1408,4020
Bangladesh,Bangladesh,Asia,2015,31,38.1,129.753,0.01,97,90,21.6,98,97,0.01,1248,156.26,17.9,18.3,5.2,0,1,71.5,3328,7951,2713,7706,5108,15392,3678,6848,286,220,34335,243361,44083,72192,276,7534,40,30285,141,76393,402,21981,10470,494,5309,8715,56564,24070,37327,1269,3848
Brazil,Brasil,South America,2000,30.4,34.7,186.4955,7.3,94,95,24.8,99,98,0.24,6788,174.79,3.4,3.4,5.6,0,1,70.1,4970,22925,4345,12628,1779,8819,57844,2255,14524,282,8323,295292,53538,63291,6709,10796,150,18454,99,162732,0,36766,23306,260,11838,42084,56021,28376,52152,2089,335
Brazil,Brasil,South America,2001,28.5,32.5,182.1315,7.18,91,95,24.9,99,98,0.25,6789,177.2,3.4,3.4,5.8,0,1,70.5,4694,24254,4556,12530,948,8731,60012,2224,14720,289,8123,298715,53715,62213,6971,10980,121,17145,76,167936,4,37850,24138,251,11699,42371,56610,28885,53375,1984,334
Brazil,Brasil,South America,2002,26.8,30.4,177.768,7.02,92,80,25,99,99,0.25,6905,179.54,3.3,3.3,6,0,1,70.8,4437,25745,4797,12215,836,8757,61969,2247,14657,296,7859,303435,54562,60921,7227,11143,157,16101,74,173241,0,39146,24910,249,11375,43059,57466,29422,54660,1956,323
Brazil,Brasil,South America,2003,25.1,28.4,174.611,6.84,97,74,25.1,99,99,0.25,6896,181.81,3.3,3.3,6.2,0,1,71.2,4218,27251,5042,11910,780,8573,62076,2224,15183,309,7619,308841,55619,59578,7492,11313,230,15210,72,178652,0,40476,25792,245,11077,43468,58356,30034,56108,1905,324
Brazil,Brasil,South America,2004,23.5,26.5,171.4535,6.7,96,68,25.2,99,99,0.25,7206,184.01,3.2,3.2,6.2,0,1,71.5,4140,28758,5273,11378,852,8518,60644,2253,14760,329,7414,313658,56885,58264,7843,11607,197,14219,72,184180,0,41850,26638,242,10583,44289,58970,30720,57649,1863,325
Brazil,Brasil,South America,2005,22,24.8,168.2965,6.76,98,61,25.3,99,99,0.25,7352,186.13,3.2,3.1,6.3,0,1,71.9,4008,30196,5419,10664,1061,8269,59926,2201,14850,353,7038,311589,57078,56875,8139,11750,88,13317,70,186595,34,42513,26861,234,9910,44263,57962,30664,58050,1793,322
Brazil,Brasil,South America,2006,20.7,23.2,165.1395,6.93,99,55,25.4,99,99,0.25,7561,188.17,3.1,3.1,6.4,0,1,72.3,3720,31762,5685,10111,976,8148,60171,2182,14627,391,6823,317244,59162,55546,8422,11967,90,12343,69,192001,1,44066,27258,232,9387,44884,58313,31245,59478,1776,329
Brazil,Brasil,South America,2007,19.5,21.8,161.982,6.91,99,49,25.5,99,99,0.25,7937,190.13,3.1,3,6.5,0,1,72.6,3744,33367,5946,9713,730,8041,60023,2166,14815,433,6668,322286,61206,54149,8677,12105,140,11420,69,197167,7,45611,27932,227,9006,45805,58747,31897,60968,1769,320
Brazil,Brasil,South America,2008,18.4,20.6,159.6305,6.83,96,56,25.6,99,99,0.25,8259,192.03,3,3,6.7,0,1,73,3693,34941,6224,9340,405,7903,61014,2235,15287,487,6580,328313,63628,52478,8886,12194,487,10615,71,202719,62,47260,28861,223,8652,46857,59338,32644,62671,1751,310
Brazil,Brasil,South America,2009,17.5,19.5,157.279,6.95,99,55,25.7,99,99,0.25,8169,193.89,3,2.9,6.8,0,1,73.3,3702,36563,6544,9090,386,7822,62508,2373,15281,553,6506,334995,67124,50683,8972,12315,165,9901,72,208607,14,48937,29944,221,8424,47828,60515,33323,64434,1742,295
Brazil,Brasil,South America,2010,16.7,18.6,154.9275,7.16,96,53,25.8,99,99,0.25,8702,195.71,2.9,2.9,6.9,0,1,73.6,3175,38234,6893,8893,372,7596,62918,2285,15502,643,6347,340876,69897,48726,9093,12440,728,9313,93,214526,0,50718,31167,219,8246,48796,61948,33985,66231,1749,281
Brazil,Brasil,South America,2011,16,17.9,152.5765,7.13,98,71,26,98,99,0.25,8966,197.51,2.9,2.8,7.1,0,1,73.9,2863,39782,7241,8686,307,7430,62969,2230,15397,738,6203,346499,72719,46576,9176,12749,2562,8819,72,220411,2,52766,32609,216,8058,49449,63235,34641,68009,1754,269
Brazil,Brasil,South America,2012,15.4,17.2,150.2245,7.12,96,70,26.1,96,95,0.24,9057,199.29,2.8,2.8,7.3,0,1,74.2,2687,41153,7487,8411,287,7245,65597,2209,15316,827,6029,347193,74791,44173,9126,12929,78,8446,72,224727,4,53744,33482,216,7806,49398,63704,34788,68919,1736,255
Brazil,Brasil,South America,2013,14.9,16.7,148.2705,6.86,96,69,26.2,96,97,0.24,9248,201.04,2.8,2.7,7.4,0,1,74.5,2459,42632,7791,8240,214,7015,66519,2249,15671,920,5957,351474,77827,41687,9102,13091,185,8182,73,230413,18,55098,34746,213,7656,48900,64962,35182,70255,2097,247
Brazil,Brasil,South America,2014,14.6,16.3,146.3165,6.91,96,89,26.3,96,93,0.24,9215,202.76,2.7,2.7,7.4,0,1,74.7,2339,44168,8089,8006,151,6816,68062,2241,15675,998,5854,355512,80250,39034,9010,13205,119,7809,72,235262,64,56290,35868,208,7439,48168,65974,35307,71242,1691,240
Brazil,Brasil,South America,2015,14.2,15.9,144.3625,6.63,96,80,26.5,98,96,0.24,8814,204.47,2.7,2.6,7.6,0,1,75,2244,45968,8447,7921,114,6597,68068,2188,15849,1042,5807,363287,83400,36744,8958,13381,77,7656,73,241818,36,57990,37342,201,7353,46729,67975,35673,72690,1668,234
Canada,Canadá,North America,2000,5.3,6.2,80.9805,7.6,14,84,26.3,88,89,0.1,34122,30.69,0.5,0.5,11,1,0,79.1,89,14402,3617,292,0,292,580,29,272,2022,132,71553,8008,1021,1321,4834,8,1661,120,83590,0,6065,6607,132,250,2365,16221,5037,11568,286,11
Canada,Canadá,North America,2001,5.3,6.2,79.395,7.6,14,84,26.4,88,89,0.1,34227,31.02,0.5,0.4,11.2,1,0,79.3,116,8938,2444,329,0,318,439,28,479,942,167,75174,6355,956,925,4349,20,496,129,64211,7,7404,4233,122,263,3218,12584,3701,8770,325,15
Canada,Canadá,North America,2002,5.3,6.2,78.1635,7.7,14,85,26.4,88,88,0.1,35016,31.36,0.5,0.4,11.5,1,0,79.5,100,9893,2732,341,0,299,480,25,456,1069,144,72573,6143,1011,972,4277,3,1024,125,68084,3,7904,4634,123,278,3079,13055,3919,9345,303,14
Canada,Canadá,North America,2003,5.3,6.2,77.6255,7.7,14,84,26.5,88,91,0.1,36024,31.64,0.5,0.4,11.7,1,0,79.7,98,11370,3077,323,0,291,604,32,415,1312,129,69253,6288,1107,1065,4359,21,1581,117,74584,32,7270,5202,127,270,2776,13880,4292,10155,301,12
Canada,Canadá,North America,2004,5.3,6.1,75.8795,7.8,14,84,26.6,91,91,0.1,37086,31.94,0.5,0.4,12,1,0,79.9,96,11709,3137,314,0,286,557,30,364,1372,121,68335,6366,1089,1092,4419,14,1690,114,75628,32,6948,5298,128,263,2657,14017,4356,10246,294,12
Canada,Canadá,North America,2005,5.2,6.1,75.7275,8,14,85,26.6,93,93,0.1,38573,32.24,0.5,0.4,12.2,1,0,80.2,95,12160,3215,308,0,285,613,27,330,1428,121,68029,6473,1097,1128,4442,11,1782,117,76141,16,6697,5512,127,261,2555,14272,4435,10392,288,12
Canada,Canadá,North America,2006,5.2,6,73.8445,8.2,14,84,26.7,95,95,0.1,39776,32.57,0.5,0.4,12.3,1,0,80.3,87,13442,3449,282,0,285,569,26,233,1709,124,68846,7281,1098,1247,4625,6,1724,142,80681,0,6006,6200,130,241,2370,15300,4781,11021,283,11
Canada,Canadá,North America,2007,5.1,6,73.6155,8.3,14,85,26.7,99,94,0.1,42097,32.89,0.5,0.4,12.4,1,0,80.5,85,13008,3368,288,0,287,605,26,277,1602,121,68155,6928,1072,1202,4547,6,1801,117,79147,1,6186,5974,128,244,2407,14869,4660,10780,277,11
Canada,Canadá,North America,2008,5.1,5.9,72.9125,8.4,28,85,26.8,96,92,0.1,42064,33.25,0.5,0.4,12.4,1,0,80.7,99,10999,2987,328,0,293,538,28,448,1254,134,69792,6215,1098,1034,4318,18,1469,119,72965,30,7482,5054,127,272,2898,13620,4196,9985,298,13
Canada,Canadá,North America,2009,5,5.8,71.2685,8.4,42,84,26.8,93,91,0.1,40368,33.63,0.5,0.4,12.5,1,0,81,113,8587,2339,318,0,323,426,18,563,902,170,75825,6724,926,896,4356,14,372,129,63646,0,7081,4092,128,253,3287,12447,3625,8591,333,15
Canada,Canadá,North America,2010,5,5.7,69.0295,8.4,56,85,26.8,90,89,0.1,41155,34,0.5,0.4,12.6,1,0,81.2,100,10633,2889,332,0,298,546,31,471,1186,138,70140,6121,1056,1005,4267,10,1316,120,70821,36,7628,4891,123,273,2969,13288,4052,9695,295,14
Canada,Canadá,North America,2011,4.9,5.7,67.7935,8.2,70,85,26.8,87,87,0.1,42037,34.34,0.5,0.5,12.7,1,0,81.4,89,13911,3551,283,0,285,560,27,273,1856,128,70379,7635,1050,1291,4756,11,1688,121,82675,7,6000,6454,134,241,2354,15801,4941,11355,293,11
Canada,Canadá,North America,2012,4.9,5.6,67.445,8.3,70,83,26.9,91,95,0.1,42316,34.71,0.5,0.5,12.8,1,0,81.6,110,9590,2658,342,0,306,433,27,473,1026,154,74094,6125,997,958,4342,23,825,129,66785,0,7909,4520,125,276,3144,12979,3892,9227,306,15
Canada,Canadá,North America,2013,4.8,5.5,66.0915,8.2,55,86,26.9,91,91,0.1,42846,35.08,0.5,0.5,12.9,1,0,81.7,88,12560,3282,298,0,280,603,23,302,1501,119,67580,6674,1072,1168,4426,19,1810,116,77371,0,6362,5732,125,253,2443,14497,4507,10516,278,12
Canada,Canadá,North America,2014,4.7,5.4,66.418,8.1,55,86,26.9,91,91,0.1,43635,35.44,0.5,0.5,13,1,0,81.8,99,10257,2818,340,0,301,553,32,499,1135,142,71571,6174,1049,982,4301,7,1180,124,69538,4,7880,4784,123,278,3060,13245,4005,9567,300,14
Canada,Canadá,North America,2015,4.7,5.4,65.9695,8,55,86,26.9,91,91,0.1,43596,35.7,0.6,0.5,13.1,1,0,81.9,109,9294,2565,339,0,316,445,22,464,990,162,75056,6190,975,952,4333,7,645,131,65032,1,7767,4403,123,273,3196,12813,3813,9041,316,16
Chile,Chile,South America,2000,9.2,10.9,108.8855,6.24,94,96,26.6,91,91,0.15,8556,15.34,1.1,1.1,8.8,0,1,76.4,191,2179,633,475,0,580,775,66,518,19,625,21981,5000,959,508,1917,16,262,43,20025,1,2105,2381,52,457,2381,3671,3874,6073,364,7
Chile,Chile,South America,2001,8.7,10.3,106.8675,6.1,94,96,26.7,96,97,0.14,8727,15.52,1,1,9,0,1,76.6,191,2278,661,495,0,591,794,57,578,23,643,22519,4561,898,545,1902,9,257,43,20607,0,2278,2591,54,475,2411,3942,4039,6288,366,6
Chile,Chile,South America,2002,8.3,9.8,104.85,6.06,94,96,26.8,97,97,0.14,8910,15.68,1,1,9.2,0,1,76.9,171,2380,684,511,0,576,780,55,474,29,634,22596,4139,802,577,1852,21,252,48,20958,0,2376,2713,54,491,2352,4068,4087,6343,356,6
Chile,Chile,South America,2003,8.1,9.5,103.6575,6.37,94,96,26.9,96,96,0.14,9233,15.85,1,1,9.4,0,1,77.1,162,2500,726,544,0,569,778,48,452,32,631,23315,3945,802,580,1865,0,254,48,21575,0,2525,2920,54,522,2372,4292,4185,6498,359,6
